Order_ID,Customer_ID,Customer_Name,Age,Gender,City,State,Product_Category,Product_Name,Payment_Mode,Order_Date,Quantity,Unit_Price,Discount_Percent,Final_Amount,Delivery_Time_Days,Customer_Rating,Repeat_Customer
ORD00001,CUST658,Aditya,55,Female,Mumbai,Maharashtra,Electronics,Power Bank,UPI,2025-01-16,2,1270.41,25,1905.62,2,4.8,Yes
ORD00002,CUST559,Ishaan,18,Male,Pune,Maharashtra,Fashion,Kurti,Debit Card,2025-06-24,2,3635.89,25,5453.84,6,3.6,No
ORD00003,CUST718,Ishaan,20,Female,Delhi,Delhi,Fashion,T-Shirt,Net Banking,2025-03-05,1,644.18,0,644.18,4,4.5,No
ORD00004,CUST333,Kabir,23,Male,Mumbai,Maharashtra,Beauty,Shampoo,UPI,2025-07-14,3,2970.29,25,6683.15,2,4.3,No
ORD00005,CUST799,Aditya,28,Male,Hyderabad,Telangana,Grocery,Organic Honey,COD,2025-08-25,3,1904.3,25,4284.67,4,4.4,No
ORD00006,CUST132,Ananya,43,Female,Jaipur,Rajasthan,Beauty,Lipstick,UPI,2025-04-19,3,4244.69,30,8913.85,2,4.5,No
ORD00007,CUST651,Ishaan,55,Female,Pune,Maharashtra,Home Decor,Photo Frame,Net Banking,2025-07-24,4,884.78,5,3362.16,3,4.6,No
ORD00008,CUST263,Meera,22,Female,Pune,Maharashtra,Fashion,Handbag,Debit Card,2025-11-02,1,3826.75,30,2678.72,2,4.4,No
ORD00009,CUST756,Ananya,25,Female,Jaipur,Rajasthan,Beauty,Face Serum,Debit Card,2025-03-22,1,3471.21,20,2776.97,8,3.0,No
ORD00010,CUST723,Reyansh,27,Female,Ahmedabad,Gujarat,Grocery,Organic Honey,COD,2025-10-04,1,4377.49,10,3939.74,8,3.3,Yes
ORD00011,CUST159,Krishna,54,Male,Surat,Gujarat,Home Decor,LED Lamp,UPI,2025-09-06,1,4658.67,30,3261.07,8,3.0,Yes
ORD00012,CUST316,Riya,30,Female,Delhi,Delhi,Fashion,Handbag,Debit Card,2025-12-10,2,1471.27,30,2059.78,6,3.6,No
ORD00013,CUST667,Krishna,55,Male,Hyderabad,Telangana,Beauty,Body Lotion,UPI,2025-02-06,1,1388.95,0,1388.95,4,3.8,Yes
ORD00014,CUST319,Riya,26,Female,Pune,Maharashtra,Electronics,Bluetooth Speaker,COD,2025-08-31,3,539.12,5,1536.49,4,4.3,No
ORD00015,CUST155,Vihaan,21,Female,Pune,Maharashtra,Electronics,Bluetooth Speaker,Credit Card,2025-02-25,4,1899.63,15,6458.74,5,4.2,Yes
ORD00016,CUST177,Saanvi,53,Male,Pune,Maharashtra,Fashion,Handbag,UPI,2025-11-30,2,2224.03,10,4003.25,5,3.7,Yes
ORD00017,CUST160,Sai,42,Male,Mumbai,Maharashtra,Fashion,Sneakers,Debit Card,2025-05-16,4,2530.08,5,9614.3,8,3.1,No
ORD00018,CUST655,Vivaan,38,Male,Jaipur,Rajasthan,Home Decor,Photo Frame,UPI,2025-10-27,2,1110.51,5,2109.97,2,4.8,No
ORD00019,CUST513,Vihaan,54,Male,Delhi,Delhi,Electronics,Bluetooth Speaker,Net Banking,2025-11-01,2,527.9,0,1055.8,7,3.7,Yes
ORD00020,CUST505,Arjun,37,Female,Mumbai,Maharashtra,Home Decor,Cushion Cover,Credit Card,2025-02-07,3,1179.44,25,2653.74,4,4.0,Yes
ORD00021,CUST457,Aditya,33,Female,Hyderabad,Telangana,Beauty,Face Serum,Credit Card,2025-03-22,1,2779.65,20,2223.72,4,3.9,No
ORD00022,CUST209,Riya,27,Female,Jaipur,Rajasthan,Beauty,Face Serum,Credit Card,2025-11-06,3,4671.43,0,14014.29,3,4.3,Yes
ORD00023,CUST533,Ishaan,20,Male,Surat,Gujarat,Fashion,T-Shirt,Credit Card,2025-03-08,4,1404.38,30,3932.26,2,4.4,No
